Gradient Profiler Text Data File: 1_hrGFP_rich_potentiallyundigested.csv,,,
Version: 1.88,,,
Date: 2015-12-19,,,
Time: 18:41:55,,,
,,,
User: Alicia,,,
Experiment name: 20151219_rp_A_prep3,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 150,,,
w2t:  x 10^0,,,
Sample Volume: 0.3 ml,,,
Number of Tubes: 0,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 1.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 4 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 4.33 mm,,,
Number: 24,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
12.21,0.412888, , 
12.27,0.400833, , 
12.32,0.388579, , 
12.38,0.376803, , 
12.43,0.36624, , 
12.48,0.355415, , 
12.54,0.345635, , 
12.6,0.335639, , 
12.65,0.326077, , 
12.71,0.31771, , 
12.76,0.308854, , 
12.82,0.30022, , 
12.87,0.292835, , 
12.93,0.284672, , 
12.98,0.278059, , 
13.04,0.270383, , 
13.09,0.263672, , 
13.15,0.257239, , 
13.2,0.251094, , 
13.26,0.244933, , 
13.31,0.239571, , 
13.37,0.235351, , 
13.42,0.229378, , 
13.48,0.223871, , 
13.53,0.21911, , 
13.59,0.214413, , 
13.64,0.210023, , 
13.7,0.205405, , 
13.75,0.201548, , 
13.81,0.197377, , 
13.86,0.193385, , 
13.91,0.189515, , 
13.98,0.185979, , 
14.03,0.182247, , 
14.08,0.178651, , 
14.14,0.175525, , 
14.19,0.172292, , 
14.24,0.169312, , 
14.3,0.16603, , 
14.36,0.163408, , 
14.41,0.160775, , 
14.47,0.158337, , 
14.52,0.155819, , 
14.57,0.153133, , 
14.63,0.151048, , 
14.69,0.148476, , 
14.74,0.146172, , 
14.8,0.144052, , 
14.85,0.14191, , 
14.9,0.13999, , 
14.96,0.138008, , 
15.02,0.136114, , 
