Gradient Profiler Text Data File: hrGFP_rich_2.csv,,,
Version: 1.88,,,
Date: 2016-02-15,,,
Time: 20:23:33,,,
,,,
User: Alicia,,,
Experiment name: 20160215_redodigestSDGfor14711,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.40 ml,,,
Number of Tubes: 4,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 1.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
6.93,0.118519, , 
6.97,0.118616, , 
7.01,0.118672, , 
7.04,0.118785, , 
7.08,0.118784, , 
7.12,0.118865, , 
7.15,0.118962, , 
7.19,0.118968, , 
7.23,0.119066, , 
7.26,0.119103, , 
7.3,0.119205, , 
7.34,0.119267, , 
7.37,0.119273, , 
7.41,0.119306, , 
7.45,0.119324, , 
7.48,0.119471, , 
7.52,0.119494, , 
7.56,0.119552, , 
7.59,0.119677, , 
7.63,0.11997, , 
7.67,0.121048, , 
7.7,0.125608, , 
7.74,0.143052, , 
7.78,0.175226, , 
7.81,0.211597, , 
7.85,0.250405, , 
7.89,0.294015, , 
7.92,0.334122, , 
7.96,0.378248, , 
8,0.418505, , 
8.03,0.458824, , 
8.07,0.501607, , 
8.11,0.536113, , 
8.14,0.553339, , 
8.18,0.563436, , 
8.22,0.567956, , 
8.25,0.570663, , 
8.29,0.572899, , 
8.33,0.575277, , 
8.36,0.577519, , 
8.4,0.579891, , 
8.44,0.581984, , 
8.47,0.583727, , 
8.51,0.585624, , 
8.55,0.587295, , 
8.58,0.588642, , 
8.62,0.590226, , 
8.66,0.591618, , 
8.69,0.592841, , 
8.73,0.593847, , 
8.77,0.594786, , 
8.8,0.595696, , 
8.84,0.596491, , 
8.88,0.597169, , 
8.91,0.597655, , 
8.95,0.598234, , 
8.99,0.598644, , 
9.02,0.598941, , 
9.06,0.599236, , 
9.1,0.599408, , 
9.13,0.599556, , 
9.17,0.599597, , 
9.21,0.599646, , 
9.24,0.599637, , 
9.28,0.599508, , 
9.32,0.599397, , 
9.35,0.599157, , 
9.39,0.598915, , 
9.43,0.598514, , 
9.46,0.598096, , 
9.5,0.597657, , 
9.54,0.597023, , 
9.57,0.596463, , 
9.61,0.595639, , 
9.65,0.594941, , 
9.68,0.594051, , 
9.72,0.593047, , 
9.76,0.59206, , 
9.79,0.590899, , 
9.83,0.589567, , 
9.87,0.588029, , 
9.9,0.586625, , 
9.94,0.585154, , 
9.98,0.583417, , 
10.01,0.581778, , 
10.05,0.579995, , 
10.09,0.578077, , 
10.12,0.576165, , 
10.16,0.574026, , 
10.2,0.572048, , 
10.23,0.569961, , 
10.27,0.567711, , 
10.31,0.565361, , 
10.34,0.563199, , 
10.38,0.560869, , 
10.42,0.558215, , 
10.45,0.55569, , 
10.49,0.552722, , 
10.53,0.549976, , 
10.56,0.547043, , 
10.6,0.543757, , 
10.64,0.540332, , 
10.67,0.53733, , 
10.71,0.53366, , 
10.75,0.529886, , 
10.78,0.526517, , 
10.82,0.523046, , 
10.86,0.519209, , 
10.89,0.515723, , 
10.93,0.511816, , 
10.97,0.508345, , 
11,0.504738, , 
11.04,0.500757, , 
11.08,0.496766, , 
11.11,0.49346, , 
11.15,0.489373, , 
11.19,0.485184, , 
11.22,0.481436, , 
11.26,0.477581, , 
11.3,0.473381, , 
11.33,0.46953, , 
11.37,0.46522, , 
11.41,0.461303, , 
11.44,0.457374, , 
11.48,0.45308, , 
11.52,0.448699, , 
11.55,0.445151, , 
11.59,0.440826, , 
11.63,0.436424, , 
11.66,0.432474, , 
11.7,0.428536, , 
11.74,0.424198, , 
11.77,0.420218, , 
11.81,0.415896, , 
11.85,0.411956, , 
11.88,0.407915, , 
11.92,0.403579, , 
11.96,0.399215, , 
11.99,0.395642, , 
12.03,0.391281, , 
12.07,0.386864, , 
12.1,0.382853, , 
12.14,0.378795, , 
12.18,0.374411, , 
12.21,0.370388, , 
12.25,0.365966, , 
12.29,0.361974, , 
12.32,0.357979, , 
12.36,0.353659, , 
12.4,0.349232, , 
12.43,0.345657, , 
12.47,0.341248, , 
12.51,0.336894, , 
12.54,0.333013, , 
12.58,0.329055, , 
12.62,0.324804, , 
12.65,0.320949, , 
12.69,0.316743, , 
12.73,0.312927, , 
12.76,0.309085, , 
12.8,0.304935, , 
12.84,0.300801, , 
12.87,0.297496, , 
12.91,0.293444, , 
12.95,0.289419, , 
12.98,0.285804, , 
13.02,0.282209, , 
13.06,0.278341, , 
13.09,0.274766, , 
13.13,0.270913, , 
13.17,0.267355, , 
13.2,0.263919, , 
13.24,0.260169, , 
13.28,0.256377, , 
13.31,0.252982, , 
13.35,0.249559, , 
13.39,0.245927, , 
13.42,0.242647, , 
13.46,0.239369, , 
13.5,0.235909, , 
13.53,0.232749, , 
13.57,0.229343, , 
13.61,0.226207, , 
13.64,0.223168, , 
13.68,0.219908, , 
13.72,0.216681, , 
13.75,0.213759, , 
13.79,0.2108, , 
13.83,0.207686, , 
13.86,0.204835, , 
13.9,0.201743, , 
13.94,0.198935, , 
13.97,0.196121, , 
14.01,0.193152, , 
14.05,0.190053, , 
14.08,0.187609, , 
14.12,0.18464, , 
14.16,0.181689, , 
14.19,0.179115, , 
14.23,0.176473, , 
14.27,0.173675, , 
14.3,0.171085, , 
14.34,0.168396, , 
14.38,0.165979, , 
14.41,0.163558, , 
14.45,0.161029, , 
14.49,0.158502, , 
14.52,0.15654, , 
14.56,0.154113, , 
14.6,0.151692, , 
14.63,0.149576, , 
14.67,0.147479, , 
14.71,0.145264, , 
14.74,0.143211, , 
14.78,0.141135, , 
14.82,0.139168, , 
14.85,0.137228, , 
14.89,0.135281, , 
14.93,0.133285, , 
14.96,0.131748, , 
15,0.129822, , 
15.04,0.128053, , 
15.07,0.126449, , 
15.11,0.124837, , 
15.15,0.123174, , 
