trna,samplelabel,mean_chargedfraction,stdev,stderr
CCG,Rich,0.91428286,0.00479939,0.002770929
CCG,Rich + Torin1,0.87892047,0.007913598,0.004568918
CCG,-Leu,0.880197152,0.023183965,0.013385269
CCG,-Leu + Torin1,0.875743052,0.011157372,0.006441711
CCG,-Arg,0.537782618,0.057176861,0.033011076
CCG,-Arg + Torin1,0.872664758,0.019093771,0.011023794
