trna,samplelabel,mean_chargedfraction,stdev,stderr
ACG,Rich,0.712270406,0.093245086,0.053835075
ACG,Rich + Torin1,0.700963179,0.080094163,0.046242387
ACG,-Leu,0.742059986,0.046757291,0.026995335
ACG,-Leu + Torin1,0.816971798,0.019164559,0.011064663
ACG,-Arg,0.17983272,0.044126247,0.025476301
ACG,-Arg + Torin1,0.665838973,0.050394605,0.029095339
