file,lane_annotations
20140626_tc7_293t_eif2atotal_gel3_rl12rl6rl3rich3sexceptr121_rawdata_rotatedcropped.tif,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140626_tc7_293t_eif2atotal_gel4_rl12rl6rl3rich2_rl12rl6rl3rich1expectr123_rawdata_cropped,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours, Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140625_tc7_293t_eif2aps51_gel3_rl12rl6rl3rich3sexceptr121_rawdata_rotatedcropped,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140625_tc7_293t_eif2apsh51_gel4_rl12rl6rl3rich2_rl12rl6rl3rich1expectr123_rawdata_cropped,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours, Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
