,mean,std,normalizedMean,normalizedStd,normalizedStdErr,sterr
YFP-AGA -Arg,5176.07096354,1142.03292311,3.67099117159,1.29612208107,0.748316432408,659.353015582
YFP-AGA -Leu,3031.1019694,243.000693222,2.14972875145,0.617110014833,0.356288633184,140.296515645
YFP-AGA Rich,1409.99275716,388.653784999,1.0,0.38981721787,0.225061075672,224.389367391
YFP-CGA -Arg,11102.4052734,1999.61865966,5.90175132,2.82901033869,1.63332988059,1154.48037143
YFP-CGA -Leu,3720.4917806,296.443687473,1.97771714655,0.89257860244,0.515330496391,171.151842762
YFP-CGA Rich,1881.2052002,835.684864695,1.0,0.628233894632,0.36271100818,482.482881589
YFP-CGG -Arg,8211.12923177,634.571394089,4.68859435765,1.28722218691,0.743178076117,366.369965197
YFP-CGG -Leu,3167.14119466,267.299290191,1.8084528834,0.50027345292,0.288833012712,154.325317146
YFP-CGG Rich,1751.29870605,461.365140448,1.0,0.37256285097,0.215099262298,266.369288032
YFP-CGT -Arg,8235.5867513,882.441163456,4.69491356207,2.0740436821,1.19744967817,509.477643265
YFP-CGT -Leu,4140.68513997,626.468783249,2.3605068354,1.07283619212,0.619402264317,361.691920648
YFP-CGT Rich,1754.15087891,751.78072757,1.0,0.606092961355,0.349927934392,434.040805434
YFP-CTA -Arg,6023.6422526,1000.97535173,3.13096295538,1.70371817209,0.983642145277,577.913388774
YFP-CTA -Leu,3535.80379232,175.144914452,1.83783668203,0.956629903078,0.552310532057,101.119963506
YFP-CTA Rich,1923.89444987,996.879802528,1.0,0.732784970031,0.423073599706,575.548822339
YFP-CTC -Arg,6042.66650391,473.222442686,2.84681250205,0.543101588906,0.313559848552,273.215104672
YFP-CTC -Leu,3952.46329753,262.911166694,1.86207892195,0.346801411969,0.200225888556,151.791832864
YFP-CTC Rich,2122.60782878,369.249698847,1.0,0.246017151606,0.142038068705,213.186413027
YFP-CTT -Arg,5707.65625,723.390535411,2.77170223587,0.976714565114,0.56390641709,417.649720349
YFP-CTT -Leu,4200.60709635,415.952531878,2.03986217302,0.700476684256,0.404420402216,240.15030625
YFP-CTT Rich,2059.26025391,677.099574607,1.0,0.465003585472,0.268469945246,390.923621668
YFP-TTA -Arg,3819.87386068,270.71088061,2.59107306391,0.751002034581,0.433591226828,156.294999792
YFP-TTA -Leu,2681.22111003,552.854376458,1.81870921658,0.633950980842,0.366011769442,319.190623071
YFP-TTA Rich,1474.24397786,414.328168524,1.0,0.397456950136,0.229471877153,239.21247963
YFP-TTG -Arg,4352.49609375,361.786069527,2.90779880491,1.44642316514,0.835092803756,208.877284631
YFP-TTG -Leu,2422.95279948,103.043360801,1.61871696216,0.79685435575,0.460064076797,59.4921120966
YFP-TTG Rich,1496.83536784,734.100204123,1.0,0.693579592731,0.400438364568,423.832950463
YFP-WT -Arg,7460.45735677,2573.23054166,2.79857728001,1.84009747626,1.06238077326,1485.65534591
YFP-WT -Leu,5688.50309245,320.07744437,2.13387929861,1.20052425816,0.693123003618,184.796798669
YFP-WT Rich,2665.80358887,1492.26608838,1.0,0.791649823591,0.457059238754,861.560227828
