,mean,std,normalizedMean,normalizedStd,normalizedStdErr,sterr
YFP-AGA -Arg,938.403361003,109.040662264,0.558331922506,0.0725482328276,0.0418857417523,62.9546557108
YFP-AGA -Leu,1274.66333008,78.8582005731,0.758400126433,0.064393226554,0.037177446685,45.5288033287
YFP-AGA Rich,1680.72668457,97.7390154322,1.0,0.0822405227847,0.047481587968,56.4296468701
YFP-AGG -Arg,1620.24003092,142.876471969,0.704869985635,0.0683864795957,0.0394829524035,82.4897695521
YFP-AGG -Leu,1385.31673177,55.5022133858,0.602668843002,0.034314770275,0.0198116418555,32.0442178389
YFP-AGG Rich,2298.63671875,92.9957748682,1.0,0.0572147329716,0.0330329414828,53.6911356536
YFP-CGA -Arg,1941.45007324,93.5850217891,0.768859647285,0.0678520983436,0.0391744272438,54.0313375221
YFP-CGA -Leu,1707.96000163,95.8929071562,0.676392116659,0.0627870798425,0.0362501374487,55.36379576
YFP-CGA Rich,2525.10335286,186.661719671,1.0,0.104542071609,0.0603573931849,107.769194099
YFP-CGG -Arg,2219.22998047,105.435906739,0.724655959859,0.0532103518058,0.0307210109387,60.873449138
YFP-CGG -Leu,1898.30672201,88.9386868638,0.619863327302,0.0452525434613,0.0261265681489,51.3487748022
YFP-CGG Rich,3062.4601237,171.457356359,1.0,0.0791772982953,0.0457130344845,98.9909508484
YFP-CGT -Arg,3045.40340169,216.709015548,0.583869182432,0.050756087262,0.0293040406437,125.117008462
YFP-CGT -Leu,3470.67333984,165.867704036,0.665402555306,0.0459911551769,0.0265530058217,95.7637635752
YFP-CGT Rich,5215.90022786,260.443674923,1.0,0.0706154184742,0.040769830865,150.367225826
YFP-CTA -Arg,1118.28668213,124.985349665,0.590926283321,0.110475096695,0.0637828268155,72.1603252737
YFP-CTA -Leu,1285.27001953,192.43111697,0.679163802845,0.14387372336,0.0830655329112,111.100157183
YFP-CTA Rich,1892.4300944,283.610708594,1.0,0.211942365382,0.122364981706,163.742718952
YFP-CTC -Arg,1171.03336589,85.923992364,0.551803331545,0.0487484523346,0.0281449320779,49.6082401212
YFP-CTC -Leu,1526.35668945,169.594730585,0.719235447001,0.0873994997742,0.0504601247217,97.9155633564
YFP-CTC Rich,2122.19335938,104.415901153,1.0,0.0695819647561,0.0401731660827,60.2845486382
YFP-CTT -Arg,1486.94002279,263.311694943,0.641043062619,0.118519979436,0.0684275420318,152.023077956
YFP-CTT -Leu,1782.77998861,330.505244953,0.76858429147,0.148225365622,0.0855779547429,190.817292142
YFP-CTT Rich,2319.56339518,123.276056467,1.0,0.0751601233806,0.0433937174661,71.1734643856
YFP-TTA -Arg,2210.91666667,238.120797941,0.517200899414,0.0568841475763,0.0328420779158,137.479106791
YFP-TTA -Leu,2811.91333008,348.86572327,0.657792365184,0.0829169666241,0.0478721330008,201.417719241
YFP-TTA Rich,4274.7734375,95.2837078044,1.0,0.0315224920853,0.018199519291,55.0120743503
YFP-TTG -Arg,810.550028483,131.361298892,0.7462391305,0.225959919746,0.130458020492,75.8414812763
YFP-TTG -Leu,1001.61336263,326.884118654,0.922143061576,0.382362814686,0.220757273987,188.726633899
YFP-TTG Rich,1086.18001302,277.819976746,1.0,0.361723447589,0.208841129837,160.39943836
YFP-WT -Arg,3099.15340169,457.656014568,0.480414162091,0.0750986498657,0.0433582257157,264.227823207
YFP-WT -Leu,3919.87996419,278.250772934,0.607638798218,0.0532096320987,0.0307205954157,160.648158656
YFP-WT Rich,6451.00341797,330.788040973,1.0,0.0725166154016,0.0418674874228,190.980564501
