time,samplelabel,mean_relativephosindex,stdev,sterr
0,Rich,0.999999997,0.216425314,0.124953213
3,-Leu,0.247216202,0.052994819,0.030596573
3,-Arg,0.371864895,0.057650164,0.033284338
6,-Leu,0.072998342,0.03396028,0.019606977
6,-Arg,0.162128878,0.029537709,0.017053604
12,-Leu,0.0477086,0.008908783,0.005143488
12,-Arg,0.197202358,0.039256867,0.022664963
