"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	29633142	12.3	12342	2401	0	22869726
2n	28621098	11.9	12342	2319	0	21857682
3n	29151804	12.1	12342	2362	0	22388388
4n	26893218	11.2	12342	2179	0	20129802
5n	26695746	11.1	12342	2163	0	19932330
6n	22129206	9.2	12342	1793	0	15365790
7n	22696938	9.4	12342	1839	0	15933522
8n	17315826	7.2	12342	1403	0	10552410
9n	16871514	7	12342	1367	0	10108098
10n	6084606	2.5	12342	493	0	
11n	7306464	3	12342	592	0	
12n	6899178	2.9	12342	559	0	6763416
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
