"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	101570124	12.4	12426	8174	0	77558950
2n	95481384	11.7	12426	7684	0	71470210
3n	68852466	8.4	12426	5541	0	44841292
4n	99370722	12.1	12426	7997	0	75359548
5n	94189080	11.5	12426	7580	0	70177906
6n	75873156	9.3	12426	6106	0	51861982
7n	96052980	11.7	12426	7730	0	72041806
8n	62999820	7.7	12426	5070	0	38988646
9n	51667308	6.3	12426	4158	0	27656134
10n	24330108	3	12426	1958	0	
11n	25212354	3.1	12426	2029	0	
12n	22491060	2.7	12426	1810	0	24011174
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
