"Black is 0, White is 65535"						
						
#	IDV	% *	Area	Average	Background	
						
1n	140755610	14.7	12730	11057	0	107644880
2n	115359260	12	12730	9062	0	82248530
3n	90128400	9.4	12730	7080	0	57017670
4n	110229070	11.5	12730	8659	0	77118340
5n	104386000	10.9	12730	8200	0	71275270
6n	76736440	8	12730	6028	0	43625710
7n	101063470	10.5	12730	7939	0	67952740
8n	65152140	6.8	12730	5118	0	32041410
9n	56864910	5.9	12730	4467	0	23754180
10n	36917000	3.8	12730	2900	0	
11n	32767020	3.4	12730	2574	0	
12n	29648170	3.1	12730	2329	0	33110730
						
IDV = Integrated Density Value						
* Based on Integrated Density Value						
