time,cellline,samplelabel,mean_relativephosindex,stdev,sterr
3,hrGFP,Rich,1.281718351,0.866786911,0.500439656
3,hrGFP,-Leu,0.181626676,0.165612009,0.095616138
3,hrGFP,-Arg,0.425191375,0.256526666,0.14810574
3,Flag-RagB-WT,Rich,1.01256504,0.451497775,0.260672362
3,Flag-RagB-WT,-Leu,0.522308786,0.248658353,0.143562967
3,Flag-RagB-WT,-Arg,0.67936911,0.288118386,0.166345228
3,Flag-RagB-Q99L,Rich,1,0.583262289,0.33674664
3,Flag-RagB-Q99L,-Leu,0.82123306,0.495238674,0.285926182
3,Flag-RagB-Q99L,-Arg,0.88390507,0.580985599,0.335432192
