Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
7.70, 0.843176, , 
7.74, 0.829820, , 
7.78, 0.817614, , 
7.81, 0.805398, , 
7.85, 0.791933, , 
7.89, 0.778583, , 
7.92, 0.767436, , 
7.96, 0.754062, , 
8.00, 0.740617, , 
8.03, 0.728401, , 
8.07, 0.716118, , 
8.11, 0.702435, , 
8.14, 0.690072, , 
8.18, 0.676385, , 
8.22, 0.664092, , 
8.25, 0.651882, , 
8.29, 0.638506, , 
8.33, 0.625438, , 
8.36, 0.614822, , 
8.40, 0.601996, , 
8.44, 0.589343, , 
8.47, 0.578000, , 
8.51, 0.566799, , 
8.55, 0.554583, , 
8.58, 0.543818, , 
8.62, 0.531803, , 
8.66, 0.521070, , 
8.69, 0.510689, , 
8.73, 0.499605, , 
8.77, 0.488672, , 
8.80, 0.479787, , 
8.84, 0.469177, , 
8.88, 0.458638, , 
8.91, 0.449279, , 
8.95, 0.440169, , 
8.99, 0.430461, , 
9.02, 0.421917, , 
9.06, 0.412455, , 
9.10, 0.403988, , 
9.13, 0.395550, , 
9.17, 0.386578, , 
9.21, 0.377837, , 
9.24, 0.370763, , 
9.28, 0.362352, , 
9.32, 0.353893, , 
9.35, 0.346453, , 
9.39, 0.339116, , 
9.43, 0.331324, , 
9.46, 0.324392, , 
9.50, 0.316868, , 
9.54, 0.310382, , 
9.57, 0.303933, , 
9.61, 0.297068, , 
9.65, 0.290492, , 
9.68, 0.285314, , 
9.72, 0.279243, , 
9.76, 0.273276, , 
9.79, 0.268100, , 
9.83, 0.262961, , 
9.87, 0.257595, , 
9.90, 0.252882, , 
9.94, 0.247839, , 
9.98, 0.243515, , 
10.01, 0.239164, , 
10.05, 0.234529, , 
10.09, 0.229823, , 
10.12, 0.226189, , 
10.16, 0.222014, , 
10.20, 0.217896, , 
10.23, 0.214482, , 
10.27, 0.210781, , 
10.31, 0.207135, , 
10.34, 0.203821, , 
10.38, 0.200173, , 
10.42, 0.196727, , 
10.45, 0.193922, , 
10.49, 0.190669, , 
10.53, 0.187378, , 
10.56, 0.184543, , 
10.60, 0.181746, , 
10.64, 0.178752, , 
10.67, 0.176145, , 
10.71, 0.173114, , 
10.75, 0.170696, , 
10.78, 0.168041, , 
10.82, 0.165399, , 
10.86, 0.162867, , 
10.89, 0.160831, , 
10.93, 0.158502, , 
10.97, 0.155990, , 
11.00, 0.153823, , 
11.04, 0.151571, , 
11.08, 0.149162, , 
11.11, 0.147085, , 
11.15, 0.144842, , 
11.19, 0.142945, , 
11.22, 0.141036, , 
11.26, 0.139002, , 
11.30, 0.136909, , 
11.33, 0.135261, , 
11.37, 0.133318, , 
11.41, 0.131273, , 
11.44, 0.129601, , 
11.48, 0.127882, , 
11.52, 0.126086, , 
11.55, 0.124447, , 
11.59, 0.122706, , 
11.63, 0.121275, , 
11.66, 0.119796, , 
11.70, 0.118250, , 
11.74, 0.116608, , 
11.77, 0.115498, , 
11.81, 0.114065, , 
11.85, 0.112699, , 
11.88, 0.111519, , 
11.92, 0.110304, , 
11.96, 0.108930, , 
11.99, 0.107717, , 
12.03, 0.106466, , 
12.07, 0.105439, , 
12.10, 0.104345, , 
12.14, 0.103310, , 
12.18, 0.102251, , 
12.21, 0.101506, , 
12.25, 0.100382, , 
12.29, 0.099448, , 
12.32, 0.098719, , 
12.36, 0.097797, , 
12.40, 0.096843, , 
12.43, 0.095953, , 
12.47, 0.095138, , 
12.51, 0.094367, , 
12.54, 0.093614, , 
12.58, 0.092817, , 
12.62, 0.091960, , 
12.65, 0.091447, , 
12.69, 0.090814, , 
12.73, 0.090251, , 
12.76, 0.089752, , 
12.80, 0.089145, , 
12.84, 0.088471, , 
12.87, 0.087821, , 
12.91, 0.087252, , 
12.95, 0.086641, , 
