Gradient Profiler Text Data File: 293t_gcn2kocol2_rich.csv,,,
Version: 1.88,,,
Date: 2017-02-24,,,
Time: 15:58:19,,,
,,,
User: Alicia,,,
Experiment name: 20170224_RPb_polysomes_293Tgcn2KOcol2,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.07,0.755029, , 
8.11,0.744415, , 
8.14,0.738081, , 
8.18,0.724077, , 
8.22,0.714294, , 
8.25,0.704655, , 
8.29,0.694346, , 
8.33,0.683808, , 
8.36,0.675109, , 
8.4,0.668382, , 
8.44,0.653777, , 
8.47,0.64445, , 
8.51,0.634224, , 
8.55,0.625032, , 
8.58,0.615774, , 
8.62,0.60561, , 
8.66,0.596851, , 
8.69,0.587313, , 
8.73,0.577506, , 
8.77,0.567707, , 
8.8,0.55899, , 
8.84,0.550184, , 
8.88,0.540579, , 
8.91,0.53415, , 
8.95,0.522552, , 
8.99,0.514212, , 
9.02,0.506011, , 
9.06,0.497102, , 
9.1,0.488305, , 
9.13,0.481101, , 
9.17,0.472598, , 
9.21,0.463985, , 
9.24,0.456219, , 
9.28,0.448625, , 
9.32,0.440608, , 
9.35,0.433481, , 
9.39,0.425557, , 
9.43,0.418323, , 
9.46,0.411156, , 
9.5,0.403512, , 
9.54,0.396062, , 
9.57,0.390118, , 
9.61,0.383118, , 
9.65,0.37609, , 
9.68,0.369808, , 
9.72,0.363597, , 
9.76,0.356999, , 
9.79,0.351201, , 
9.83,0.34489, , 
9.87,0.339306, , 
9.9,0.333743, , 
9.94,0.327667, , 
9.98,0.321662, , 
10.01,0.316833, , 
10.05,0.311153, , 
10.09,0.305301, , 
10.12,0.300035, , 
10.16,0.294936, , 
10.2,0.289641, , 
10.23,0.284949, , 
10.27,0.279668, , 
10.31,0.274963, , 
10.34,0.270306, , 
10.38,0.265606, , 
10.42,0.261153, , 
10.45,0.257557, , 
10.49,0.253279, , 
10.53,0.248918, , 
10.56,0.245097, , 
10.6,0.241283, , 
10.64,0.237181, , 
10.67,0.23355, , 
10.71,0.229487, , 
10.75,0.226062, , 
10.78,0.222537, , 
10.82,0.218865, , 
10.86,0.215319, , 
10.89,0.212409, , 
10.93,0.20906, , 
10.97,0.205736, , 
11,0.202802, , 
11.04,0.199969, , 
11.08,0.197003, , 
11.11,0.194384, , 
11.15,0.191329, , 
11.19,0.18873, , 
11.22,0.186111, , 
11.26,0.183405, , 
11.3,0.180739, , 
11.33,0.178622, , 
11.37,0.176165, , 
11.41,0.173665, , 
11.44,0.17157, , 
11.48,0.169494, , 
11.52,0.167224, , 
11.55,0.16524, , 
