Gradient Profiler Text Data File: hct116_polysome_arg.csv
Version: 1.88
Date: 2017-02-13
Time: 17:08:30

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
7.70, 0.586249, , 
7.74, 0.585840, , 
7.78, 0.585503, , 
7.81, 0.585164, , 
7.85, 0.584538, , 
7.89, 0.584082, , 
7.92, 0.583630, , 
7.96, 0.583107, , 
8.00, 0.582454, , 
8.03, 0.581810, , 
8.07, 0.581352, , 
8.11, 0.580672, , 
8.14, 0.580177, , 
8.18, 0.579655, , 
8.22, 0.579336, , 
8.25, 0.579120, , 
8.29, 0.578813, , 
8.33, 0.578749, , 
8.36, 0.578608, , 
8.40, 0.578382, , 
8.44, 0.578252, , 
8.47, 0.578107, , 
8.51, 0.578170, , 
8.55, 0.578222, , 
8.58, 0.578464, , 
8.62, 0.578616, , 
8.66, 0.578656, , 
8.69, 0.578729, , 
8.73, 0.578735, , 
8.77, 0.578971, , 
8.80, 0.579062, , 
8.84, 0.579229, , 
8.88, 0.579421, , 
8.91, 0.579562, , 
8.95, 0.579760, , 
8.99, 0.579990, , 
9.02, 0.580173, , 
9.06, 0.580242, , 
9.10, 0.580428, , 
9.13, 0.580633, , 
9.17, 0.580692, , 
9.21, 0.580793, , 
9.24, 0.580910, , 
9.28, 0.581140, , 
9.32, 0.581213, , 
9.35, 0.581176, , 
9.39, 0.581249, , 
9.43, 0.581267, , 
9.46, 0.581293, , 
9.50, 0.581299, , 
9.54, 0.581275, , 
9.57, 0.581291, , 
9.61, 0.581249, , 
9.65, 0.581269, , 
9.68, 0.581209, , 
9.72, 0.581263, , 
9.76, 0.581261, , 
9.79, 0.581209, , 
9.83, 0.581281, , 
9.87, 0.581249, , 
9.90, 0.581259, , 
9.94, 0.581231, , 
9.98, 0.581225, , 
10.01, 0.581293, , 
10.05, 0.581245, , 
10.09, 0.581287, , 
10.12, 0.581168, , 
