Gradient Profiler Text Data File: 293t_hek293t_arg.csv,,,
Version: 1.88,,,
Date: 2017-02-24,,,
Time: 15:49:53,,,
,,,
User: Alicia,,,
Experiment name: 20170224_RPb_polysomes_293Tgcn2KOcol2,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
Length of Tubing: 0 mm,,,
Total Distance: 105.04 mm,,,
,,,
Data Columns:,,,
Distance, Absorbance, Fraction Number, Fraction Volume(ml)
0.04,0.044395, , 
0.08,0.044476, , 
0.11,0.044427, , 
0.15,0.04434, , 
0.19,0.044076, , 
0.22,0.044009, , 
0.26,0.043965, , 
0.3,0.043933, , 
0.33,0.043963, , 
0.37,0.043896, , 
0.41,0.043977, , 
0.44,0.043915, , 
0.48,0.043935, , 
0.52,0.043991, , 
0.55,0.043878, , 
0.59,0.043975, , 
0.63,0.044054, , 
0.66,0.044262, , 
0.7,0.044516, , 
0.74,0.044744, , 
0.77,0.045051, , 
0.81,0.045277, , 
0.85,0.045497, , 
0.88,0.045636, , 
0.92,0.045864, , 
0.96,0.045957, , 
0.99,0.045977, , 
1.03,0.04606, , 
1.07,0.045997, , 
1.1,0.04606, , 
1.14,0.045938, , 
1.18,0.045775, , 
1.21,0.045688, , 
1.25,0.045569, , 
1.29,0.045509, , 
1.32,0.04526, , 
1.36,0.045095, , 
1.4,0.045002, , 
1.43,0.044948, , 
1.47,0.044944, , 
1.51,0.044754, , 
1.54,0.044637, , 
1.58,0.04452, , 
1.62,0.044498, , 
1.65,0.044502, , 
1.69,0.044403, , 
1.73,0.044528, , 
1.76,0.044449, , 
1.8,0.044433, , 
1.84,0.044445, , 
1.87,0.044427, , 
1.91,0.044488, , 
1.95,0.044445, , 
1.98,0.044421, , 
2.02,0.044421, , 
2.06,0.044367, , 
2.09,0.044169, , 
2.13,0.043939, , 
2.17,0.043909, , 
2.2,0.043824, , 
2.24,0.043874, , 
2.28,0.043868, , 
2.31,0.043908, , 
2.35,0.043947, , 
2.39,0.04389, , 
2.42,0.043937, , 
2.46,0.043919, , 
2.5,0.043933, , 
2.53,0.043955, , 
2.57,0.043921, , 
2.61,0.043959, , 
2.64,0.043917, , 
2.68,0.043959, , 
2.72,0.043947, , 
2.75,0.043931, , 
2.79,0.043975, , 
2.83,0.043898, , 
2.86,0.043908, , 
2.9,0.043882, , 
2.94,0.043943, , 
2.97,0.043967, , 
3.01,0.043896, , 
3.05,0.043937, , 
3.08,0.043904, , 
3.12,0.043913, , 
3.16,0.043991, , 
3.19,0.044011, , 
3.23,0.04405, , 
3.27,0.044021, , 
3.3,0.044072, , 
3.34,0.043852, , 
3.38,0.043682, , 
3.41,0.04361, , 
3.45,0.043527, , 
3.49,0.043543, , 
3.52,0.043454, , 
3.56,0.043489, , 
3.6,0.043442, , 
3.63,0.043438, , 
3.67,0.043446, , 
3.71,0.043452, , 
3.74,0.043822, , 
3.78,0.046687, , 
3.82,0.063696, , 
3.85,0.104755, , 
3.89,0.194118, , 
3.93,0.32029, , 
3.96,0.442259, , 
4,0.562095, , 
4.04,0.70731, , 
4.07,0.834298, , 
4.11,0.969387, , 
4.15,1.101292, , 
4.18,1.223851, , 
4.22,1.3334, , 
4.26,1.408109, , 
4.29,1.436878, , 
4.33,1.447233, , 
4.37,1.451662, , 
4.4,1.452891, , 
4.44,1.453416, , 
4.48,1.453482, , 
4.51,1.453426, , 
4.55,1.453337, , 
4.59,1.453071, , 
4.62,1.452958, , 
4.66,1.452964, , 
4.7,1.453291, , 
4.73,1.453741, , 
4.77,1.454348, , 
4.81,1.455167, , 
4.84,1.4559, , 
4.88,1.456921, , 
4.92,1.457859, , 
4.95,1.459112, , 
4.99,1.460767, , 
5.03,1.462484, , 
5.06,1.463838, , 
5.1,1.465493, , 
5.14,1.467129, , 
5.17,1.468653, , 
5.21,1.470231, , 
5.25,1.472158, , 
5.28,1.473726, , 
5.32,1.475636, , 
5.36,1.477128, , 
5.39,1.478645, , 
5.43,1.480112, , 
5.47,1.481603, , 
5.5,1.482824, , 
5.54,1.484237, , 
5.58,1.485356, , 
5.61,1.486153, , 
5.65,1.486846, , 
5.69,1.487784, , 
5.72,1.488353, , 
5.76,1.488819, , 
5.8,1.489108, , 
5.83,1.489154, , 
5.87,1.48894, , 
5.91,1.488524, , 
5.94,1.488161, , 
5.98,1.48737, , 
6.02,1.486224, , 
6.05,1.484888, , 
6.09,1.483137, , 
6.13,1.481095, , 
6.16,1.478756, , 
6.2,1.475963, , 
6.24,1.472989, , 
6.27,1.469785, , 
6.31,1.465906, , 
6.35,1.461604, , 
6.38,1.457778, , 
6.42,1.452484, , 
6.46,1.446834, , 
6.49,1.441406, , 
6.53,1.435606, , 
6.57,1.428947, , 
6.6,1.422309, , 
6.64,1.414508, , 
6.68,1.406824, , 
6.71,1.398908, , 
6.75,1.389803, , 
6.79,1.380101, , 
6.82,1.371876, , 
