trna,cell_line,samplelabel,mean_chargedfraction
ACG,WT,Rich,0.80700690
ACG,hrGFP,Rich,0.73893541
ACG,RagB-Q99L,Rich,0.80635650
ACG,GCN2-KO,Rich,0.83679210
ACG,WT,-Leu,0.84661399
ACG,hrGFP,-Leu,0.84891304
ACG,RagB-Q99L,-Leu,0.85030902
ACG,GCN2-KO,-Leu,0.86234136
ACG,WT,-Arg,0.33315926
ACG,hrGFP,-Arg,0.30159056
ACG,RagB-Q99L,-Arg,0.19049845
ACG,GCN2-KO,-Arg,0.12544114
