trna	cell_line	samplelabel	mean_chargedfraction	stdev	sterr
CAA	WT	Rich	0.824037018		
CAA	hrGFP	Rich	0.850839179		
CAA	RagB-Q99L	Rich	0.832168886		
CAA	GCN2-KO	Rich	0.835392707		
CAA	WT	-Leu	0.288646318		
CAA	hrGFP	-Leu	0.389872526		
CAA	RagB-Q99L	-Leu	0.181206393		
CAA	GCN2-KO	-Leu	0.136312235		
CAA	WT	-Arg	0.884502808		
CAA	hrGFP	-Arg	0.88892694		
CAA	RagB-Q99L	-Arg	0.87530948		
CAA	GCN2-KO	-Arg	0.866375991		
