time,cellline,samplelabel,mean_relativephosindex,stdev,sterr
3,293T,Rich,1,0.385528162,0.157391213
3,293T,-Leu,0.167936955,0.065964702,0.026929977
3,293T,-Arg,0.308467043,0.107050329,0.043703114
3,GCN2 KO,Rich,1.45741985,0.137349745,0.079298912
3,GCN2 KO,-Leu,1.126421673,0.221039398,0.127617156
3,GCN2 KO,-Arg,1.833537852,0.142885057,0.082494726
