time,cellline,samplelabel,mean_relativephosindex,stdev,sterr
3,293T,Rich,0.137635324,0.052180176,0.030126239
3,293T,-Leu,1,0.23659962,0.136600854
3,293T,-Arg,0.856575439,0.170344111,0.098348218
3,GCN2 KO,Rich,0.139311063,0.082763203,0.047783358
3,GCN2 KO,-Leu,0.181121444,0.126737481,0.073171919
3,GCN2 KO,-Arg,0.144024879,0.059623843,0.034423842
