trna,cell_line,samplelabel,mean_chargedfraction,stdev,sterr
TAG,hrGFP,Rich,0.776174622,0.012697611,0.007330969
TAG,RagB-WT,Rich,0.774584709,0.018022886,0.010405518
TAG,RagB-Q99L,Rich,0.751097994,0.038546227,0.022254675
TAG,hrGFP,-Leu,0.662512952,0.019202286,0.011086445
TAG,RagB-WT,-Leu,0.64205125,0.054355853,0.031382366
TAG,RagB-Q99L,-Leu,0.586304863,0.041882957,0.024181136
TAG,hrGFP,-Arg,0.792034397,0.031163026,0.017991981
TAG,RagB-WT,-Arg,0.779451785,0.020067093,0.011585742
TAG,RagB-Q99L,-Arg,0.768423409,0.021250975,0.012269256
