trna,cell_line,samplelabel,mean_chargedfraction,stdev,sterr
CAG,hrGFP,Rich,0.875064629,0.012096698,0.006984032
CAG,RagB-WT,Rich,0.857852403,0.020993052,0.012120344
CAG,RagB-Q99L,Rich,0.85153031,0.008819306,0.005091829
CAG,hrGFP,-Leu,0.600074465,0.025736103,0.014858746
CAG,RagB-WT,-Leu,0.541013541,0.028073711,0.016208365
CAG,RagB-Q99L,-Leu,0.420586205,0.020472067,0.011819553
CAG,hrGFP,-Arg,0.901860536,0.017185761,0.009922204
CAG,RagB-WT,-Arg,0.887946682,0.015528065,0.008965133
CAG,RagB-Q99L,-Arg,0.898978168,0.010510943,0.006068496
