trna,cell_line,samplelabel,mean_chargedfraction,stdev,sterr
TCG,hrGFP,Rich,0.946696185,0.008686123,0.005014935
TCG,RagB-WT,Rich,0.943982484,0.000717352,0.000414163
TCG,RagB-Q99L,Rich,0.926105138,0.009735108,0.005620567
TCG,hrGFP,-Leu,0.936255198,0.031116246,0.017964973
TCG,RagB-WT,-Leu,0.936467633,0.01255341,0.007247715
TCG,RagB-Q99L,-Leu,0.937773836,0.016467801,0.009507689
TCG,hrGFP,-Arg,0.51308447,0.050286173,0.029032736
TCG,RagB-WT,-Arg,0.512883527,0.053651014,0.030975427
TCG,RagB-Q99L,-Arg,0.441226922,0.087025415,0.050244147
