trna,cell_line,samplelabel,mean_chargedfraction,stdev,sterr
ACG,hrGFP,Rich,0.867086821,0.011722668,0.006768085
ACG,RagB-WT,Rich,0.861370056,0.039805913,0.022981955
ACG,RagB-Q99L,Rich,0.87091058,0.028014261,0.016174041
ACG,hrGFP,-Leu,0.888570885,0.025226018,0.014564248
ACG,RagB-WT,-Leu,0.878085651,0.022599358,0.013047745
ACG,RagB-Q99L,-Leu,0.880613072,0.031513146,0.018194123
ACG,hrGFP,-Arg,0.250473834,0.065666112,0.037912348
ACG,RagB-WT,-Arg,0.300333523,0.130741742,0.07548378
ACG,RagB-Q99L,-Arg,0.264112499,0.016948578,0.009785266
