file,lane_annotation
20160610_puro_rep1rep2plusrilrrilr_minus_10s,"Rich_3hours_PlusPuro_1, Leu_3hours_PlusPuro_1, Arg_3hours_PlusPuro_1, Rich_3hours_PlusPuro_2, Leu_3hours_PlusPuro_2, Arg_3hours_PlusPuro_2, Rich_3hours_MinusPuro_1, Leu_3hours_MinusPuro_1, Arg_3hours_MinusPuro_1, Rich_3hours_MinusPuro_2, Leu_3hours_MinusPuro_2, Arg_3hours_MinusPuro_2"
20160610_puro_rep3plusrilrrilr_minus_10s,"Rich_3hours_PlusPuro_3, Leu_3hours_PlusPuro_3, Arg_3hours_PlusPuro_3, Rich_3hours_MinusPuro_3, Leu_3hours_MinusPuro_3, Arg_3hours_MinusPuro_3"
