file	codonmutation	samplelabel	time	tmp	replicate
Specimen_001_Tube_001	WT	Rich	24	TMP	1
Specimen_001_Tube_002	WT	-Leu	24	TMP	1
Specimen_001_Tube_003	WT	-Arg	24	TMP	1
Specimen_001_Tube_004	CGG	Rich	24	TMP	1
Specimen_001_Tube_005	CGG	-Leu	24	TMP	1
Specimen_001_Tube_006	CGG	-Arg	24	TMP	1
Specimen_001_Tube_007	WT	Rich	24	TMP	2
Specimen_001_Tube_008	WT	-Leu	24	TMP	2
Specimen_001_Tube_009	WT	-Arg	24	TMP	2
Specimen_001_Tube_010	CGG	Rich	24	TMP	2
Specimen_001_Tube_011	CGG	-Leu	24	TMP	2
Specimen_001_Tube_012	CGG	-Arg	24	TMP	2
Specimen_001_Tube_013	WT	Rich	24	TMP	3
Specimen_001_Tube_014	WT	-Leu	24	TMP	3
Specimen_001_Tube_015	WT	-Arg	24	TMP	3
Specimen_001_Tube_016	CGG	Rich	24	TMP	3
Specimen_001_Tube_017	CGG	-Leu	24	TMP	3
Specimen_001_Tube_018	CGG	-Arg	24	TMP	3
Specimen_001_Tube_019	WT	Rich	24	NOTMP	1
Specimen_001_Tube_020	WT	-Leu	24	NOTMP	1
Specimen_001_Tube_021	WT	-Arg	24	NOTMP	1
Specimen_001_Tube_022	CGG	Rich	24	NOTMP	1
Specimen_001_Tube_023	CGG	-Leu	24	NOTMP	1
Specimen_001_Tube_024	CGG	-Arg	24	NOTMP	1
Specimen_001_Tube_025	WT	Rich	24	NOTMP	2
Specimen_001_Tube_026	WT	-Leu	24	NOTMP	2
Specimen_001_Tube_027	WT	-Arg	24	NOTMP	2
Specimen_001_Tube_028	CGG	Rich	24	NOTMP	2
Specimen_001_Tube_029	CGG	-Leu	24	NOTMP	2
Specimen_001_Tube_030	CGG	-Arg	24	NOTMP	2
Specimen_001_Tube_031	WT	Rich	24	NOTMP	3
Specimen_001_Tube_032	WT	-Leu	24	NOTMP	3
Specimen_001_Tube_033	WT	-Arg	24	NOTMP	3
Specimen_001_Tube_034	CGG	Rich	24	NOTMP	3
Specimen_001_Tube_035	CGG	-Leu	24	NOTMP	3
Specimen_001_Tube_036	CGG	-Arg	24	NOTMP	3
Specimen_002_Tube_001	WT	Rich	38	TMP	1
Specimen_002_Tube_002	WT	-Leu	38	TMP	1
Specimen_002_Tube_003	WT	-Arg	38	TMP	1
Specimen_002_Tube_004	CGG	Rich	38	TMP	1
Specimen_002_Tube_005	CGG	-Leu	38	TMP	1
Specimen_002_Tube_006	CGG	-Arg	38	TMP	1
Specimen_002_Tube_007	WT	Rich	38	TMP	2
Specimen_002_Tube_008	WT	-Leu	38	TMP	2
Specimen_002_Tube_009	WT	-Arg	38	TMP	2
Specimen_002_Tube_010	CGG	Rich	38	TMP	2
Specimen_002_Tube_011	CGG	-Leu	38	TMP	2
Specimen_002_Tube_012	CGG	-Arg	38	TMP	2
Specimen_002_Tube_013	WT	Rich	38	TMP	3
Specimen_002_Tube_014	WT	-Leu	38	TMP	3
Specimen_002_Tube_015	WT	-Arg	38	TMP	3
Specimen_002_Tube_016	CGG	Rich	38	TMP	3
Specimen_002_Tube_017	CGG	-Leu	38	TMP	3
Specimen_002_Tube_018	CGG	-Arg	38	TMP	3
Specimen_002_Tube_019	WT	Rich	38	NOTMP	1
Specimen_002_Tube_020	WT	-Leu	38	NOTMP	1
Specimen_002_Tube_021	WT	-Arg	38	NOTMP	1
Specimen_002_Tube_022	CGG	Rich	38	NOTMP	1
Specimen_002_Tube_023	CGG	-Leu	38	NOTMP	1
Specimen_002_Tube_024	CGG	-Arg	38	NOTMP	1
Specimen_002_Tube_025	WT	Rich	38	NOTMP	2
Specimen_002_Tube_026	WT	-Leu	38	NOTMP	2
Specimen_002_Tube_027	WT	-Arg	38	NOTMP	2
Specimen_002_Tube_028	CGG	Rich	38	NOTMP	2
Specimen_002_Tube_029	CGG	-Leu	38	NOTMP	2
Specimen_002_Tube_030	CGG	-Arg	38	NOTMP	2
Specimen_002_Tube_031	WT	Rich	38	NOTMP	3
Specimen_002_Tube_032	WT	-Leu	38	NOTMP	3
Specimen_002_Tube_033	WT	-Arg	38	NOTMP	3
Specimen_002_Tube_034	CGG	Rich	38	NOTMP	3
Specimen_002_Tube_035	CGG	-Leu	38	NOTMP	3
Specimen_002_Tube_036	CGG	-Arg	38	NOTMP	3
