Gradient Profiler Text Data File: 20160110_ingolia_plusrnase.csv,,,
Version: 1.88,,,
Date: 2016-01-10,,,
Time: 19:27:09,,,
,,,
User: Alicia,,,
Experiment name: 20160110_RNaseIcheck_andreevvsingolia,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.15 ml,,,
Number of Tubes: 6,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.50,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 4 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 4.33 mm,,,
Number: 24,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
12.21,0.078867, , 
12.27,0.078031, , 
12.32,0.077269, , 
12.38,0.076609, , 
12.43,0.076065, , 
12.48,0.07558, , 
12.54,0.075154, , 
12.6,0.074634, , 
12.65,0.073972, , 
12.71,0.073265, , 
12.76,0.072537, , 
12.82,0.071882, , 
12.87,0.07134, , 
12.93,0.07082, , 
12.98,0.070354, , 
13.04,0.069828, , 
13.09,0.069277, , 
13.15,0.068804, , 
13.2,0.068254, , 
13.26,0.067575, , 
13.31,0.066918, , 
13.37,0.066277, , 
13.42,0.065703, , 
13.48,0.06524, , 
13.53,0.064827, , 
13.59,0.064492, , 
13.64,0.064194, , 
13.7,0.063843, , 
13.75,0.06348, , 
13.81,0.063056, , 
13.86,0.062607, , 
13.91,0.062108, , 
13.97,0.061433, , 
14.03,0.060755, , 
14.08,0.060134, , 
14.14,0.059594, , 
14.19,0.059141, , 
14.24,0.058723, , 
14.3,0.058325, , 
14.36,0.05796, , 
14.41,0.057588, , 
14.47,0.057278, , 
14.52,0.056934, , 
14.57,0.056549, , 
14.63,0.056204, , 
14.69,0.055837, , 
14.74,0.055506, , 
14.8,0.05521, , 
14.85,0.054858, , 
14.9,0.054541, , 
14.96,0.054261, , 
15.02,0.054018, , 
15.07,0.053785, , 
15.13,0.053546, , 
15.18,0.053341, , 
15.23,0.05313, , 
15.29,0.052912, , 
15.35,0.052706, , 
15.4,0.052513, , 
15.46,0.05228, , 
15.51,0.052074, , 
15.57,0.051812, , 
15.62,0.051561, , 
15.68,0.051445, , 
15.73,0.051229, , 
15.79,0.051022, , 
15.84,0.050845, , 
15.9,0.050686, , 
15.95,0.050585, , 
16,0.050469, , 
16.06,0.050326, , 
16.11,0.050201, , 
16.17,0.050066, , 
16.23,0.049929, , 
16.28,0.049818, , 
16.34,0.049706, , 
16.39,0.049573, , 
16.45,0.049452, , 
16.5,0.049324, , 
16.56,0.049169, , 
16.61,0.049009, , 
16.66,0.048886, , 
16.72,0.048751, , 
16.77,0.048571, , 
16.83,0.048412, , 
16.89,0.048294, , 
16.94,0.048248, , 
17,0.048266, , 
17.05,0.048241, , 
17.11,0.048181, , 
17.16,0.048117, , 
17.22,0.048049, , 
17.27,0.048024, , 
17.32,0.047996, , 
17.38,0.047934, , 
17.43,0.0479, , 
17.49,0.047909, , 
17.55,0.047965, , 
17.6,0.048047, , 
17.66,0.048152, , 
17.71,0.048301, , 
17.77,0.048492, , 
17.82,0.048752, , 
17.88,0.049026, , 
17.93,0.049336, , 
17.98,0.049751, , 
18.04,0.050225, , 
18.09,0.050794, , 
18.15,0.051318, , 
18.2,0.051844, , 
18.26,0.052402, , 
18.32,0.053013, , 
18.37,0.053681, , 
18.43,0.054311, , 
18.48,0.054878, , 
18.54,0.055536, , 
18.59,0.056194, , 
18.65,0.056869, , 
18.7,0.057538, , 
18.75,0.058222, , 
18.81,0.058807, , 
18.86,0.05943, , 
18.92,0.059932, , 
18.98,0.060409, , 
19.03,0.060846, , 
19.09,0.061162, , 
19.14,0.06146, , 
19.2,0.061651, , 
19.25,0.061772, , 
19.31,0.061856, , 
19.36,0.061852, , 
19.41,0.061777, , 
19.47,0.061633, , 
19.52,0.061422, , 
19.58,0.061127, , 
19.64,0.060776, , 
19.69,0.060387, , 
19.75,0.059966, , 
19.8,0.059492, , 
19.86,0.058947, , 
19.91,0.058348, , 
19.97,0.057823, , 
20.02,0.057299, , 
20.07,0.056761, , 
20.13,0.056213, , 
20.18,0.055641, , 
20.24,0.055109, , 
20.3,0.054602, , 
20.35,0.054039, , 
20.41,0.053543, , 
20.46,0.05303, , 
20.52,0.052532, , 
20.57,0.05207, , 
20.63,0.051648, , 
20.68,0.05123, , 
