Gradient Profiler Text Data File: 20160110_andreev_minusrnase.csv,,,
Version: 1.88,,,
Date: 2016-01-10,,,
Time: 19:42:41,,,
,,,
User: Alicia,,,
Experiment name: 20160110_RNaseIcheck_andreevvsingolia,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.15 ml,,,
Number of Tubes: 6,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.20,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 4 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 4.33 mm,,,
Number: 24,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
10.34,0.204728, , 
10.4,0.204726, , 
10.45,0.204732, , 
10.51,0.204731, , 
10.56,0.20472, , 
10.62,0.204725, , 
10.67,0.204725, , 
10.73,0.204731, , 
10.78,0.204732, , 
10.84,0.204742, , 
10.89,0.204735, , 
10.95,0.20472, , 
11,0.204575, , 
11.06,0.203941, , 
11.11,0.202614, , 
11.16,0.200803, , 
11.22,0.1982, , 
11.28,0.195095, , 
11.33,0.19118, , 
11.39,0.186887, , 
11.44,0.182751, , 
11.49,0.178442, , 
11.55,0.174282, , 
11.61,0.170525, , 
11.66,0.166663, , 
11.72,0.163168, , 
11.77,0.159522, , 
11.82,0.155973, , 
11.88,0.152745, , 
11.94,0.149397, , 
11.99,0.146177, , 
12.05,0.14328, , 
12.1,0.140251, , 
12.15,0.137471, , 
12.21,0.134628, , 
12.27,0.131929, , 
12.32,0.129464, , 
12.38,0.126917, , 
12.43,0.124497, , 
12.48,0.122332, , 
12.54,0.120073, , 
12.6,0.117894, , 
12.65,0.115924, , 
12.71,0.113885, , 
12.76,0.112021, , 
12.82,0.110098, , 
12.87,0.108261, , 
12.93,0.106619, , 
12.98,0.104953, , 
13.04,0.103343, , 
13.09,0.101901, , 
13.15,0.100468, , 
13.2,0.099274, , 
13.26,0.098017, , 
13.31,0.096741, , 
13.37,0.095543, , 
13.42,0.094304, , 
13.48,0.09311, , 
13.53,0.091966, , 
13.59,0.090661, , 
13.64,0.08948, , 
13.7,0.088309, , 
13.75,0.087193, , 
13.81,0.086182, , 
13.86,0.085132, , 
13.91,0.084116, , 
13.97,0.083201, , 
14.03,0.082236, , 
14.08,0.081292, , 
14.14,0.080432, , 
14.19,0.079533, , 
14.24,0.078717, , 
14.3,0.077862, , 
14.36,0.07705, , 
14.41,0.076336, , 
14.47,0.075609, , 
14.52,0.074914, , 
14.57,0.074263, , 
14.63,0.073554, , 
14.69,0.072918, , 
14.74,0.072253, , 
14.8,0.071611, , 
14.85,0.071064, , 
14.9,0.070498, , 
14.96,0.06995, , 
15.02,0.069521, , 
15.07,0.069114, , 
15.13,0.068612, , 
15.18,0.068152, , 
15.23,0.06772, , 
15.29,0.067335, , 
15.35,0.066983, , 
15.4,0.066624, , 
15.46,0.066308, , 
15.51,0.065952, , 
15.57,0.065621, , 
15.62,0.065278, , 
15.68,0.064941, , 
15.73,0.064618, , 
15.79,0.064305, , 
15.84,0.064003, , 
15.9,0.063737, , 
15.95,0.063471, , 
16,0.063195, , 
16.06,0.062951, , 
16.11,0.062709, , 
16.17,0.062451, , 
16.23,0.06216, , 
16.28,0.061885, , 
16.34,0.061629, , 
16.39,0.061348, , 
16.45,0.061038, , 
