Gradient Profiler Text Data File: 20160110_andreev_plusrnase.csv,,,
Version: 1.88,,,
Date: 2016-01-10,,,
Time: 19:52:15,,,
,,,
User: Alicia,,,
Experiment name: 20160110_RNaseIcheck_andreevvsingolia,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.15 ml,,,
Number of Tubes: 6,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.20,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 4 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 4.33 mm,,,
Number: 24,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
10.34,0.204727, , 
10.4,0.204728, , 
10.45,0.204722, , 
10.51,0.204725, , 
10.56,0.204728, , 
10.62,0.204715, , 
10.67,0.204718, , 
10.73,0.204726, , 
10.78,0.204719, , 
10.84,0.204734, , 
10.89,0.204735, , 
10.95,0.204735, , 
11,0.204741, , 
11.06,0.204734, , 
11.11,0.204723, , 
11.16,0.204723, , 
11.22,0.204719, , 
11.28,0.204728, , 
11.33,0.204734, , 
11.39,0.204724, , 
11.44,0.20473, , 
11.49,0.204734, , 
11.55,0.204736, , 
11.61,0.204739, , 
11.66,0.204732, , 
11.72,0.204725, , 
11.77,0.204731, , 
11.82,0.204733, , 
11.88,0.204737, , 
11.94,0.204733, , 
11.99,0.204732, , 
12.05,0.204734, , 
12.1,0.204731, , 
12.15,0.204732, , 
12.21,0.204663, , 
12.27,0.204281, , 
12.32,0.203342, , 
12.38,0.201869, , 
12.43,0.199648, , 
12.48,0.196976, , 
12.54,0.193508, , 
12.6,0.189502, , 
12.65,0.185453, , 
12.71,0.181063, , 
12.76,0.176682, , 
12.82,0.172635, , 
12.87,0.168368, , 
12.93,0.164206, , 
12.98,0.160472, , 
13.04,0.156723, , 
13.09,0.153417, , 
13.15,0.150116, , 
13.2,0.147067, , 
13.26,0.144432, , 
13.31,0.141787, , 
13.37,0.139221, , 
13.42,0.136851, , 
13.48,0.134422, , 
13.53,0.132177, , 
13.59,0.129623, , 
13.64,0.127095, , 
13.7,0.124811, , 
13.75,0.122414, , 
13.81,0.120077, , 
13.86,0.117934, , 
