trna,samplelabel,mean_chargedfraction,stdev,stderr
CAG,Rich,0.885619556,0.017788812,0.010270376
CAG,-Leu,0.656258236,0.08299212,0.047915523
CAG,-Arg,0.916382404,0.00626009,0.003614264
