trna,samplelabel,mean_chargedfraction,stdev,stderr
ACG,Rich,0.739562341,0.083166404,0.048016146
ACG,-Leu,0.732816174,0.109264922,0.063084132
ACG,-Arg,0.223246707,0.058632572,0.033851531
