trna,samplelabel,mean_chargedfraction,stdev,stderr
TAG,Rich,0.796033833,0.027324454,0.015775781
TAG,-Leu,0.644115336,0.053434094,0.030850188
TAG,-Arg,0.900680843,0.024179352,0.013959955
