trna,samplelabel,mean_chargedfraction,stdev,stderr
CCG,Rich,0.867550303,0.062210342,0.035917158
CCG,-Leu,0.780013047,0.06160341,0.035566745
CCG,-Arg,0.494692852,0.06471545,0.037363482
