Gradient Profiler Text Data File: hct116_polysome_leu.csv
Version: 1.88
Date: 2017-02-13
Time: 17:00:15

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
7.70, 1.082139, , 
7.74, 1.117938, , 
7.78, 1.130648, , 
7.81, 1.134220, , 
7.85, 1.135680, , 
7.89, 1.136361, , 
7.92, 1.136758, , 
7.96, 1.137085, , 
8.00, 1.137244, , 
8.03, 1.137331, , 
8.07, 1.137489, , 
8.11, 1.137493, , 
8.14, 1.137569, , 
8.18, 1.137484, , 
8.22, 1.137206, , 
8.25, 1.136855, , 
8.29, 1.136298, , 
8.33, 1.135598, , 
8.36, 1.134674, , 
8.40, 1.133499, , 
8.44, 1.132167, , 
8.47, 1.130436, , 
8.51, 1.128325, , 
8.55, 1.125781, , 
8.58, 1.123594, , 
8.62, 1.120692, , 
8.66, 1.117332, , 
8.69, 1.114011, , 
8.73, 1.110197, , 
8.77, 1.105744, , 
8.80, 1.101264, , 
8.84, 1.095794, , 
8.88, 1.090279, , 
8.91, 1.084189, , 
8.95, 1.076880, , 
8.99, 1.068433, , 
9.02, 1.060733, , 
9.06, 1.050420, , 
9.10, 1.039203, , 
9.13, 1.028421, , 
9.17, 1.016914, , 
9.21, 1.003769, , 
9.24, 0.991087, , 
9.28, 0.976438, , 
9.32, 0.962591, , 
9.35, 0.948123, , 
9.39, 0.931946, , 
9.43, 0.915575, , 
9.46, 0.902223, , 
9.50, 0.885721, , 
9.54, 0.868839, , 
9.57, 0.853256, , 
9.61, 0.837496, , 
9.65, 0.821055, , 
9.68, 0.805144, , 
