Gradient Profiler Text Data File: 293t_hek293t_leu.csv,,,
Version: 1.88,,,
Date: 2017-02-24,,,
Time: 15:41:48,,,
,,,
User: Alicia,,,
Experiment name: 20170224_RPb_polysomes_293Tgcn2KOcol2,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.07,0.885674, , 
8.11,0.86916, , 
8.14,0.854, , 
8.18,0.837488, , 
8.22,0.822742, , 
8.25,0.808338, , 
8.29,0.792633, , 
8.33,0.777138, , 
8.36,0.764561, , 
8.4,0.749268, , 
8.44,0.734325, , 
8.47,0.720812, , 
8.51,0.707452, , 
8.55,0.692982, , 
8.58,0.679922, , 
8.62,0.665787, , 
8.66,0.653101, , 
8.69,0.640606, , 
8.73,0.627052, , 
8.77,0.613738, , 
8.8,0.603137, , 
8.84,0.590299, , 
8.88,0.577881, , 
8.91,0.566751, , 
8.95,0.555858, , 
8.99,0.544195, , 
9.02,0.533658, , 
9.06,0.522362, , 
9.1,0.512371, , 
9.13,0.502666, , 
9.17,0.492112, , 
9.21,0.481642, , 
9.24,0.472331, , 
9.28,0.463148, , 
9.32,0.453434, , 
9.35,0.444854, , 
9.39,0.436462, , 
9.43,0.427323, , 
9.46,0.419098, , 
9.5,0.410421, , 
9.54,0.40263, , 
9.57,0.395245, , 
9.61,0.387523, , 
9.65,0.379918, , 
9.68,0.373142, , 
9.72,0.366446, , 
9.76,0.359386, , 
9.79,0.35311, , 
9.83,0.347045, , 
9.87,0.340676, , 
9.9,0.334831, , 
9.94,0.328412, , 
9.98,0.322481, , 
10.01,0.316759, , 
10.05,0.310937, , 
10.09,0.305319, , 
10.12,0.300374, , 
10.16,0.295367, , 
10.2,0.290109, , 
10.23,0.285438, , 
10.27,0.280462, , 
10.31,0.276109, , 
10.34,0.271698, , 
10.38,0.267035, , 
10.42,0.262349, , 
10.45,0.25862, , 
10.49,0.254248, , 
10.53,0.249877, , 
10.56,0.246101, , 
10.6,0.242171, , 
10.64,0.238036, , 
10.67,0.234448, , 
10.71,0.230576, , 
10.75,0.227194, , 
10.78,0.223786, , 
10.82,0.220182, , 
10.86,0.216528, , 
10.89,0.213604, , 
10.93,0.210147, , 
10.97,0.206626, , 
11,0.20364, , 
11.04,0.200591, , 
11.08,0.197431, , 
11.11,0.194527, , 
11.15,0.191567, , 
11.19,0.189006, , 
11.22,0.186321, , 
11.26,0.183481, , 
11.3,0.18062, , 
11.33,0.178441, , 
11.37,0.175761, , 
11.41,0.173053, , 
11.44,0.170821, , 
11.48,0.168551, , 
11.52,0.166136, , 
11.55,0.163971, , 
