Gradient Profiler Text Data File: 293t_gcn2kocol2_leu.csv,,,
Version: 1.88,,,
Date: 2017-02-24,,,
Time: 16:07:07,,,
,,,
User: Alicia,,,
Experiment name: 20170224_RPb_polysomes_293Tgcn2KOcol2,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.07,0.686557, , 
8.11,0.674556, , 
8.14,0.663565, , 
8.18,0.652594, , 
8.22,0.640564, , 
8.25,0.629811, , 
8.29,0.618218, , 
8.33,0.607764, , 
8.36,0.597349, , 
8.4,0.585726, , 
8.44,0.574263, , 
8.47,0.565017, , 
8.51,0.553909, , 
8.55,0.543228, , 
8.58,0.533521, , 
8.62,0.524016, , 
8.66,0.513695, , 
8.69,0.504393, , 
8.73,0.499155, , 
8.77,0.486228, , 
8.8,0.476819, , 
8.84,0.467482, , 
8.88,0.458291, , 
8.91,0.450778, , 
8.95,0.441615, , 
8.99,0.435195, , 
9.02,0.424706, , 
9.06,0.417133, , 
9.1,0.408769, , 
9.13,0.401182, , 
9.17,0.392868, , 
9.21,0.38538, , 
9.24,0.382278, , 
9.28,0.371176, , 
9.32,0.36303, , 
9.35,0.35688, , 
9.39,0.349555, , 
9.43,0.342494, , 
9.46,0.336053, , 
9.5,0.332631, , 
9.54,0.323424, , 
9.57,0.317477, , 
9.61,0.311274, , 
9.65,0.305691, , 
9.68,0.300309, , 
9.72,0.294421, , 
9.76,0.292147, , 
9.79,0.285314, , 
9.83,0.278968, , 
9.87,0.273657, , 
9.9,0.268693, , 
9.94,0.26396, , 
9.98,0.25876, , 
10.01,0.254314, , 
10.05,0.249637, , 
10.09,0.245337, , 
10.12,0.241261, , 
10.16,0.236852, , 
10.2,0.232715, , 
10.23,0.229309, , 
10.27,0.22532, , 
10.31,0.221455, , 
10.34,0.218049, , 
10.38,0.214805, , 
10.42,0.211235, , 
10.45,0.208109, , 
10.49,0.204695, , 
10.53,0.201644, , 
10.56,0.198684, , 
10.6,0.195359, , 
10.64,0.192178, , 
10.67,0.189579, , 
10.71,0.186627, , 
10.75,0.183742, , 
10.78,0.181137, , 
10.82,0.178409, , 
10.86,0.175868, , 
10.89,0.173412, , 
10.93,0.170767, , 
10.97,0.168241, , 
11,0.166116, , 
11.04,0.163662, , 
11.08,0.161467, , 
11.11,0.159362, , 
11.15,0.15714, , 
11.19,0.154866, , 
11.22,0.15285, , 
11.26,0.150722, , 
11.3,0.148754, , 
11.33,0.146853, , 
11.37,0.144866, , 
11.41,0.142826, , 
11.44,0.141282, , 
11.48,0.139462, , 
11.52,0.137797, , 
11.55,0.13625, , 
11.59,0.134827, , 
11.63,0.133192, , 
11.66,0.131723, , 
11.7,0.130158, , 
11.74,0.128763, , 
11.77,0.127526, , 
11.81,0.126059, , 
11.85,0.124705, , 
11.88,0.12364, , 
11.92,0.122413, , 
11.96,0.121231, , 
11.99,0.12008, , 
12.03,0.119088, , 
12.07,0.117972, , 
12.1,0.117001, , 
12.14,0.116031, , 
12.18,0.115064, , 
12.21,0.114196, , 
12.25,0.113214, , 
12.29,0.112259, , 
12.32,0.111392, , 
12.36,0.110492, , 
12.4,0.109644, , 
12.43,0.108849, , 
12.47,0.108262, , 
12.51,0.10763, , 
12.54,0.106985, , 
12.58,0.106228, , 
12.62,0.105433, , 
12.65,0.104715, , 
12.69,0.103889, , 
12.73,0.103215, , 
12.76,0.10262, , 
12.8,0.102041, , 
12.84,0.101421, , 
12.87,0.100667, , 
12.91,0.09996, , 
12.95,0.099149, , 
12.98,0.098623, , 
13.02,0.097935, , 
13.06,0.097232, , 
13.09,0.096605, , 
13.13,0.095905, , 
13.17,0.095317, , 
13.2,0.094754, , 
13.24,0.09403, , 
13.28,0.093302, , 
13.31,0.092714, , 
13.35,0.092236, , 
13.39,0.091423, , 
13.42,0.090777, , 
13.46,0.090226, , 
13.5,0.089601, , 
