Gradient Profiler Text Data File: 293t_hrgfp_arg.csv,,,
Version: 1.88,,,
Date: 2017-02-21,,,
Time: 19:19:14,,,
,,,
User: Alicia,,,
Experiment name: 20170221_RPb_polysome_1through6,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.11,1.025946, , 
8.14,1.010333, , 
8.18,0.992837, , 
8.22,0.976829, , 
8.25,0.960839, , 
8.29,0.943516, , 
8.32,0.927975, , 
8.36,0.910746, , 
8.4,0.895489, , 
8.43,0.880252, , 
8.47,0.863666, , 
8.51,0.848774, , 
8.55,0.832395, , 
8.58,0.817848, , 
8.62,0.801994, , 
8.66,0.787726, , 
8.69,0.773712, , 
8.73,0.758471, , 
8.76,0.744895, , 
8.8,0.729852, , 
8.84,0.716449, , 
8.87,0.703192, , 
8.91,0.688982, , 
8.95,0.676346, , 
8.99,0.662698, , 
9.02,0.65058, , 
9.06,0.637386, , 
9.1,0.625702, , 
9.13,0.614168, , 
9.17,0.601548, , 
9.2,0.590299, , 
9.24,0.578077, , 
9.28,0.567193, , 
9.32,0.555194, , 
9.35,0.544621, , 
9.39,0.534285, , 
9.43,0.523084, , 
9.46,0.513302, , 
9.5,0.502643, , 
9.54,0.49321, , 
9.57,0.483821, , 
9.61,0.473707, , 
9.64,0.46496, , 
9.68,0.45564, , 
9.72,0.4476, , 
9.76,0.439164, , 
9.79,0.430323, , 
9.83,0.42265, , 
9.87,0.414419, , 
9.9,0.407203, , 
9.94,0.399493, , 
9.98,0.392935, , 
10.01,0.386407, , 
10.05,0.379375, , 
10.08,0.372928, , 
10.12,0.365764, , 
10.16,0.359856, , 
10.2,0.352913, , 
10.23,0.34716, , 
10.27,0.34156, , 
10.31,0.335787, , 
10.34,0.330315, , 
10.38,0.324525, , 
10.42,0.319402, , 
10.45,0.314287, , 
10.49,0.308954, , 
10.52,0.304355, , 
10.56,0.299573, , 
10.6,0.295038, , 
10.64,0.290133, , 
10.67,0.28597, , 
10.71,0.28139, , 
10.75,0.276543, , 
10.78,0.272247, , 
10.82,0.267588, , 
10.85,0.263715, , 
10.89,0.259887, , 
10.93,0.255892, , 
10.96,0.252547, , 
11,0.248709, , 
11.04,0.245623, , 
11.08,0.242296, , 
11.11,0.239699, , 
11.15,0.236902, , 
11.19,0.233952, , 
11.22,0.231286, , 
11.26,0.22847, , 
11.29,0.225768, , 
11.33,0.223029, , 
11.37,0.220132, , 
11.4,0.217539, , 
11.44,0.214466, , 
11.48,0.211834, , 
11.52,0.208826, , 
11.55,0.206313, , 
11.59,0.20348, , 
11.63,0.200516, , 
11.66,0.197939, , 
11.7,0.195161, , 
11.73,0.192534, , 
11.77,0.189753, , 
11.81,0.187354, , 
11.84,0.185041, , 
11.88,0.182586, , 
11.92,0.180404, , 
11.96,0.177924, , 
11.99,0.175906, , 
12.03,0.173816, , 
12.07,0.17158, , 
12.1,0.16971, , 
12.14,0.167448, , 
12.17,0.165621, , 
12.21,0.163723, , 
12.25,0.161796, , 
12.28,0.160218, , 
12.32,0.158446, , 
12.36,0.156801, , 
12.4,0.15506, , 
12.43,0.153637, , 
12.47,0.152201, , 
12.51,0.150816, , 
12.54,0.149345, , 
12.58,0.147806, , 
12.62,0.146567, , 
12.65,0.145253, , 
12.69,0.143964, , 
12.72,0.142703, , 
12.76,0.141573, , 
12.8,0.140493, , 
12.84,0.139361, , 
12.87,0.138352, , 
12.91,0.137198, , 
12.95,0.136076, , 
12.98,0.135041, , 
13.02,0.134024, , 
13.06,0.133031, , 
13.09,0.131988, , 
13.13,0.130993, , 
13.16,0.130008, , 
13.2,0.128903, , 
13.24,0.127898, , 
13.28,0.126818, , 
13.31,0.125902, , 
13.35,0.124927, , 
13.39,0.12392, , 
13.42,0.122946, , 
13.46,0.121957, , 
13.49,0.120958, , 
13.53,0.120064, , 
13.57,0.119025, , 
13.6,0.118113, , 
13.64,0.117243, , 
13.68,0.116374, , 
13.72,0.115421, , 
13.75,0.114616, , 
13.79,0.113769, , 
13.83,0.11299, , 
13.86,0.112177, , 
13.9,0.111424, , 
13.93,0.110465, , 
13.97,0.109527, , 
