Gradient Profiler Text Data File: 293t_hek293t_rich.csv,,,
Version: 1.88,,,
Date: 2017-02-24,,,
Time: 15:33:02,,,
,,,
User: Alicia,,,
Experiment name: 20170224_RPb_polysomes_293Tgcn2KOcol2,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.25 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 2.00,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 6 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
8.07,0.734158, , 
8.11,0.719333, , 
8.14,0.707322, , 
8.18,0.692897, , 
8.22,0.67876, , 
8.25,0.666376, , 
8.29,0.654402, , 
8.33,0.641201, , 
8.36,0.629324, , 
8.4,0.61639, , 
8.44,0.604971, , 
8.47,0.593881, , 
8.51,0.581695, , 
8.55,0.569808, , 
8.58,0.560146, , 
8.62,0.548513, , 
8.66,0.536947, , 
8.69,0.526609, , 
8.73,0.516708, , 
8.77,0.506209, , 
8.8,0.496913, , 
8.84,0.486773, , 
8.88,0.477719, , 
8.91,0.468933, , 
8.95,0.459278, , 
8.99,0.449907, , 
9.02,0.442382, , 
9.06,0.433475, , 
9.1,0.424692, , 
9.13,0.416915, , 
9.17,0.409217, , 
9.21,0.400746, , 
9.24,0.393443, , 
9.28,0.385527, , 
9.32,0.378626, , 
9.35,0.371923, , 
9.39,0.364584, , 
9.43,0.357467, , 
9.46,0.351662, , 
9.5,0.34497, , 
9.54,0.338547, , 
9.57,0.332815, , 
9.61,0.327221, , 
9.65,0.321077, , 
9.68,0.315653, , 
9.72,0.309749, , 
9.76,0.304555, , 
9.79,0.299429, , 
9.83,0.293906, , 
9.87,0.288505, , 
9.9,0.283991, , 
9.94,0.278853, , 
9.98,0.273807, , 
10.01,0.26925, , 
10.05,0.264635, , 
10.09,0.259803, , 
10.12,0.255711, , 
10.16,0.251243, , 
10.2,0.24732, , 
10.23,0.243367, , 
10.27,0.239043, , 
10.31,0.234842, , 
10.34,0.231498, , 
10.38,0.227662, , 
10.42,0.22382, , 
10.45,0.220511, , 
10.49,0.217254, , 
10.53,0.21364, , 
10.56,0.210517, , 
10.6,0.206981, , 
10.64,0.203945, , 
10.67,0.201051, , 
10.71,0.198083, , 
10.75,0.195145, , 
10.78,0.192671, , 
10.82,0.189874, , 
10.86,0.186765, , 
10.89,0.184204, , 
10.93,0.181738, , 
10.97,0.179198, , 
11,0.177022, , 
11.04,0.174655, , 
11.08,0.172662, , 
11.11,0.170519, , 
11.15,0.168376, , 
11.19,0.166249, , 
11.22,0.164578, , 
11.26,0.162768, , 
11.3,0.160692, , 
11.33,0.159057, , 
11.37,0.157314, , 
11.41,0.155457, , 
11.44,0.153853, , 
11.48,0.152148, , 
11.52,0.150477, , 
11.55,0.148851, , 
11.59,0.147376, , 
11.63,0.145879, , 
11.66,0.144533, , 
11.7,0.143251, , 
11.74,0.141785, , 
11.77,0.14064, , 
11.81,0.139307, , 
11.85,0.138233, , 
11.88,0.137117, , 
11.92,0.135808, , 
11.96,0.134567, , 
11.99,0.133483, , 
12.03,0.132329, , 
12.07,0.131175, , 
12.1,0.130166, , 
12.14,0.129175, , 
12.18,0.127845, , 
12.21,0.126891, , 
12.25,0.125739, , 
12.29,0.124843, , 
12.32,0.123926, , 
12.36,0.122889, , 
12.4,0.121913, , 
12.43,0.121035, , 
12.47,0.120056, , 
12.51,0.119068, , 
12.54,0.118256, , 
12.58,0.117282, , 
12.62,0.116315, , 
12.65,0.115524, , 
12.69,0.114495, , 
12.73,0.113646, , 
12.76,0.112802, , 
12.8,0.111957, , 
12.84,0.111089, , 
12.87,0.110185, , 
12.91,0.109265, , 
12.95,0.108333, , 
12.98,0.10763, , 
13.02,0.106918, , 
13.06,0.106046, , 
13.09,0.105376, , 
13.13,0.104529, , 
13.17,0.103847, , 
13.2,0.103032, , 
13.24,0.102261, , 
13.28,0.1015, , 
13.31,0.100873, , 
13.35,0.100055, , 
13.39,0.099192, , 
13.42,0.098485, , 
13.46,0.097737, , 
13.5,0.097053, , 
13.53,0.096514, , 
13.57,0.095844, , 
13.61,0.095366, , 
13.64,0.094764, , 
13.68,0.094147, , 
13.72,0.093588, , 
13.75,0.093112, , 
13.79,0.092626, , 
13.83,0.092101, , 
13.86,0.091679, , 
13.9,0.091223, , 
13.94,0.090759, , 
13.97,0.090424, , 
14.01,0.08996, , 
14.05,0.089659, , 
14.08,0.089278, , 
14.12,0.088886, , 
14.16,0.088523, , 
14.19,0.088255, , 
14.23,0.08792, , 
14.27,0.087601, , 
14.3,0.087446, , 
14.34,0.087216, , 
14.38,0.086945, , 
14.41,0.086737, , 
14.45,0.086402, , 
14.49,0.086217, , 
14.52,0.08595, , 
14.56,0.085755, , 
14.6,0.085589, , 
14.63,0.085424, , 
14.67,0.085287, , 
14.71,0.085139, , 
14.74,0.085055, , 
14.78,0.084847, , 
14.82,0.08471, , 
14.85,0.084679, , 
14.89,0.084554, , 
14.93,0.084437, , 
14.96,0.084253, , 
15,0.084215, , 
15.04,0.084191, , 
15.07,0.084163, , 
15.11,0.084197, , 
