samplelabel,mean_relativephosindex,stdev,sterr,time
Rich,1,0.081855108,0.047259069,3
-Leu,0.11336542,0.021517981,0.012423412,3
-Arg,0.289299032,0.017429303,0.010062813,3
Rich + Torin1,0.01474676,0.022779601,0.013151809,3
-Leu + Torin1,0.012651663,0.019695846,0.011371402,3
-Arg + Torin1,0.009041723,0.013332921,0.007697765,3
