file,lane_annotations
20150425_pt389s6k_gel1_ltorrichleuarghrgfpegfpragbwtragbq99lrep3,"hrGFP_Rich_3hours_3, hrGFP_Leu_3hours_3, hrGFP_Arg_3hours_3, eGFP_Rich_3hours_3, eGFP_Leu_3hours_3, eGFP_Arg_3hours_3, FlagRabBWT_Rich_3hours_3, FlagRagBWT_Leu_3hours_3, FlagRabBWT_Arg_3hours_3, FlagRagBQ99L_Rich_3hours_3, FlagRagBQ99L_Leu_3hours_3, FlagRagBQ99L_Arg_3hours_3"
20150425_pt389s6k_gel2_ltorrichleuargegfphrgfpragbwtragbq99lrep1rep2,"hrGFP_Rich_3hours_1, hrGFP_Leu_3hours_1, hrGFP_Arg_3hours_1, eGFP_Rich_3hours_1, eGFP_Leu_3hours_1, eGFP_Arg_3hours_1, FlagRabBWT_Rich_3hours_1, FlagRagBWT_Leu_3hours_1, FlagRabBWT_Arg_3hours_1, FlagRagBQ99L_Rich_3hours_1, FlagRagBQ99L_Leu_3hours_1, FlagRagBQ99L_Arg_3hours_1, hrGFP_Rich_3hours_2, hrGFP_Leu_3hours_2, hrGFP_Arg_3hours_2, eGFP_Rich_3hours_2, eGFP_Leu_3hours_2, eGFP_Arg_3hours_2, FlagRabBWT_Rich_3hours_2, FlagRagBWT_Leu_3hours_2, FlagRabBWT_Arg_3hours_2, FlagRagBQ99L_Rich_3hours_2, FlagRagBQ99L_Leu_3hours_2, FlagRagBQ99L_Arg_3hours_2"
