Gradient Profiler Text Data File: 1100rnasei_andreev2.csv,,,
Version: 1.88,,,
Date: 2016-01-12,,,
Time: 16:04:09,,,
,,,
User: Alicia,,,
Experiment name: 20160112_rnasecheck3,,,
UV Unit: EM-1,,,
Rotor Manufacturer: Beckman,,,
Rotor Model: SW41Ti,,,
Speed: 35000 rpm,,,
Gradient: sucrose 10.0% to 50.0% w/v,,,
Time: 180,,,
w2t:  x 10^0,,,
Sample Volume: 0.12 ml,,,
Number of Tubes: 8,,,
Volume per mm: 0.143 ml/mm,,,
Temperature: 4.0 deg C,,,
,,,
Absorbance Units Full Scale (AUFS): 0.50,,,
Manual-triggered gradient; (with distance; but no event marks),,,
Delay: No Delay,,,
UV Wavelength: 254 nm,,,
Samples / sec: 8 Hz,,,
EM1 Speed: 0.22 mm/sec,,,
Distance: 2.02 mm,,,
Number: 52,,,
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm,,,
6.13,0.157843, , 
6.16,0.17401, , 
6.19,0.188647, , 
6.21,0.205575, , 
6.24,0.222522, , 
6.27,0.239602, , 
6.3,0.256734, , 
6.33,0.271821, , 
6.35,0.28905, , 
6.38,0.306361, , 
6.41,0.323573, , 
6.43,0.339468, , 
6.46,0.350925, , 
6.49,0.356596, , 
6.52,0.3599, , 
6.54,0.361583, , 
6.57,0.362624, , 
6.6,0.363549, , 
6.63,0.364354, , 
6.66,0.365251, , 
6.68,0.366132, , 
6.71,0.367057, , 
6.74,0.367943, , 
6.76,0.368717, , 
6.79,0.369624, , 
6.82,0.370464, , 
6.85,0.371229, , 
6.88,0.372009, , 
6.9,0.372765, , 
6.93,0.373399, , 
6.96,0.374128, , 
6.99,0.374852, , 
7.01,0.375517, , 
7.04,0.376193, , 
7.07,0.376801, , 
7.09,0.377464, , 
7.12,0.378097, , 
7.15,0.378751, , 
7.18,0.379341, , 
7.21,0.379884, , 
7.23,0.380386, , 
7.26,0.380922, , 
7.29,0.381434, , 
7.32,0.381962, , 
7.34,0.382451, , 
7.37,0.382838, , 
7.4,0.383328, , 
7.42,0.383825, , 
7.45,0.384281, , 
7.48,0.384751, , 
7.51,0.385225, , 
7.54,0.38559, , 
7.56,0.38602, , 
7.59,0.386494, , 
7.62,0.386946, , 
7.64,0.387425, , 
7.67,0.387894, , 
7.7,0.38844, , 
7.73,0.388971, , 
7.75,0.389589, , 
7.78,0.390209, , 
7.81,0.390741, , 
7.84,0.391367, , 
7.87,0.392029, , 
7.89,0.392664, , 
7.92,0.393309, , 
7.95,0.393857, , 
7.97,0.394455, , 
8,0.395017, , 
8.03,0.395535, , 
8.06,0.396009, , 
8.09,0.396409, , 
8.11,0.396742, , 
8.14,0.397038, , 
8.17,0.397269, , 
8.2,0.397449, , 
8.22,0.397554, , 
8.25,0.397565, , 
8.28,0.397504, , 
8.3,0.397423, , 
8.33,0.397278, , 
8.36,0.397123, , 
8.39,0.396891, , 
