samplelabel,mean_relativephosindex,stdev,sterr
Rich,1,0.385528162,0.157391213
-Leu,0.167936955,0.065964702,0.026929977
-Arg,0.308467043,0.107050329,0.043703114
EEF2K KO Rich,0.760388711,0.107634564,0.062142845
EEF2K KO -Leu,0.079708612,0.029636556,0.017110674
EEF2K KO -Arg,0.170797644,0.019172992,0.011069532
