samplelabel,mean_relativephosindex,stdev,sterr
Rich,1,0.385528162,0.157391213
-Leu,0.167936955,0.065964702,0.026929977
-Arg,0.308467043,0.107050329,0.043703114
EEF2K KO 1 Rich,0.758016166,,
EEF2K KO 1 -Leu,0.069471426,,
EEF2K KO 1 -Arg,0.17981065,,
EEF2K KO 2 Rich,0.869189934,,
EEF2K KO 2 -Leu,0.113106623,,
EEF2K KO 2 -Arg,0.183803363,,
EEF2K KO 3 Rich,0.653960032,,
EEF2K KO 3 -Leu,0.056547787,,
EEF2K KO 3 -Arg,0.148778919,,
