tmp_10uM,samplelabel,mean_normalizedRNAlevel,stdev,sterr,reporter,time,sampleorder,normalizedtorich_withinreporter,stdev_normalized,sterr_normalized
minus,Rich,0.771445364,0.193949806,0.111976973,WT,24,1,1,0.355548765,0.205276175
minus,-Leu,0.881051095,0.260528538,0.150416222,WT,24,2,1.14207841,0.443278153,0.255926761
minus,-Arg,0.454449033,0.079510722,0.045905537,WT,24,3,0.589087775,0.180436642,0.104175144
minus,Rich,0.558255523,0.141537947,0.081716972,CGG,24,4,1,0.358554239,0.207011386
minus,-Leu,0.493392808,0.097443084,0.056258791,CGG,24,5,0.883811781,0.284039594,0.163990336
minus,-Arg,0.261568871,0.077808268,0.044922625,CGG,24,6,0.468546858,0.183133835,0.105732369
