tmp_10uM,samplelabel,mean_normalizedRNAlevel,stdev,sterr,reporter,time,sampleorder,normalizedtorich_withinreporter,stdev_normalized,sterr_normalized
plus,Rich,1,0.23475554,0.135536174,WT,24,1,1,0.331994469,0.191677096
plus,-Leu,0.885369485,0.167299771,0.096590568,WT,24,2,0.885369485,0.266812519,0.15404428
plus,-Arg,0.512867863,0.083360047,0.048127946,WT,24,3,0.512867863,0.146440137,0.084547252
plus,Rich,0.49082082,0.156315433,0.090248758,CGG,24,4,1,0.45039533,0.260035865
plus,-Leu,0.437005662,0.1386433,0.080045747,CGG,24,5,0.890356815,0.400245112,0.231081623
plus,-Arg,0.28814023,0.079714806,0.046023365,CGG,24,6,0.58705788,0.24765547,0.142983952
