tmp_10uM,samplelabel,ratio_cggovercgc,stdev,sterr,time,sampleorder
plus,Rich,0.49082082,0.194192772,0.112117249,24,1
plus,-Leu,0.493585638,0.182265023,0.10523076,24,2
plus,-Arg,0.561821574,0.180269524,0.104078658,24,3
minus,Rich,0.723648814,0.258382184,0.149177024,24,4
minus,-Leu,0.560004761,0.199132136,0.114968993,24,5
minus,-Arg,0.575573611,0.198633971,0.114681377,24,6
