celline,reporter,samplelabel,relativenormalizedexpressionlevel_prepause,relativenormalizedexpressionlevel_spanpause,relativenormalizedexpressionlevel_postpause,stdev_prepause,stdev_spanpause,stdev_postpause,sem_prepause,sem_spanpause,sem_postpause,time,sampleorder
WT,CTA8,Rich,1,1,1,0.187903879,0.074557729,0.061615795,0.108486355,0.043045925,0.035573896,48,1
WT,CTA8,-Leu,2.327545455,2.327010133,2.962878464,0.11937509,0.734788438,0.520031021,0.06892124,0.424230302,0.30024005,48,2
WT,CTA8,-Arg,1.343214689,1.497534662,2.24775523,0.151927817,0.217055508,0.936458095,0.087715566,0.125317056,0.540664333,48,3
GCN2 KO,CTA8,Rich,1.03508299,0.997186075,0.987513256,0.258693392,0.138513147,0.195368913,0.1493567,0.079970603,0.112796294,48,4
GCN2 KO,CTA8,-Leu,4.914602784,4.413055947,5.028029641,0.919944864,1.023911381,0.909845605,0.531130415,0.591155512,0.525299605,48,5
GCN2 KO,CTA8,-Arg,2.703697035,2.910779624,2.858588943,0.424327738,0.483290541,0.391438457,0.244985734,0.279027924,0.225997099,48,6
