celline,reporter,samplelabel,relativenormalizedexpressionlevel_prepause,relativenormalizedexpressionlevel_spanpause,relativenormalizedexpressionlevel_postpause,stdev_prepause,stdev_spanpause,stdev_postpause,sem_prepause,sem_spanpause,sem_postpause,time,sampleorder
WT,TTG8,Rich,0.873320392,0.990857291,1.119496383,0.171329457,0.111762138,0.219887835,0.098917108,0.064525901,0.126952301,48,1
WT,TTG8,-Leu,3.405288755,2.784838096,4.633482975,0.40297592,0.600239843,0.51862336,0.232658256,0.346548635,0.299427336,48,2
WT,TTG8,-Arg,1.190949936,1.791082222,2.210452494,0.336773717,0.185200941,0.312497483,0.194436396,0.106925813,0.180420506,48,3
GCN2 KO,TTG8,Rich,1.211638769,1.415658819,1.466198357,0.158420444,0.208927641,0.171747628,0.091464086,0.12062443,0.099158539,48,4
GCN2 KO,TTG8,-Leu,8.265026049,10.70009115,11.06294323,0.890926709,1.05160082,1.472127128,0.514376776,0.607142016,0.849932994,48,5
GCN2 KO,TTG8,-Arg,2.762009474,4.124324485,3.568202727,0.648073329,0.688714485,0.791865697,0.374165311,0.397629493,0.457183873,48,6
