file,lane_annotations
20140620_tc7_293t_s6ktotal_gel3_rl12rl6rl3rich3sexceptr121_croppedrotatedadjusted_2,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140620_tc7_293t_s6ktotal_gel4_rl12rl6rl3rich2_rl12rl6rl3rich1expectr123_croppedrotatedadjusted_final_2,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours, Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140623_tc7_293t_s6kpt389_gel3_rl12rl6rl3rich3sexceptr121_croppedrotatedadjusted_2,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
20140623_tc7_293t_s6kpht389_gel4_rl12rl6rl3rich2_rl12rl6rl3rich1expectr123_croppedrotatedadjusted_final2,"Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours, Rich, Leu_3hours, Arg_3hours, Leu_6hours, Arg_6hours, Leu_12hours, Arg_12hours"
