trna,samplelabel,mean_chargedfraction,stdev,stderr
CAG,Rich,0.823672247,0.068611226,0.03961271
CAG,Rich_Torin1,0.890913103,0.028103158,0.016225366
CAG,Leu,0.672980367,0.019717377,0.011383833
CAG,Leu_Torin1,0.880245169,0.013760034,0.007944359
CAG,Arg,0.873404972,0.019373512,0.011185302
CAG,Arg_Torin1,0.866586082,0.014984392,0.008651243
