file,lane_annotations
20150515_293t_s6k_rich12leu12arg12torin12leutorin12argtorin12richleuargtorinleutorinargtorin3,"Rich_3hours_1, Rich_3hours_2, Leu_3hours_1, Leu_3hours_2, Arg_3hours_1, Arg_3hours_2, RichTorin1_3hours_1, RichTorin1_3hours_2, LeuTorin1_3hours_1, LeuTorin1_3hours_2, ArgTorin1_3hours_1, ArgTorin1_3hours_2, Rich_3hours_3, Leu_3hours_3, Arg_3hours_3, RichTorin1_3hours_3, LeuTorin1_3hours_3, ArgTorin1_3hours_3"
20150514_293t_pt389s6k_rich12leu12arg12torin12leutorin12argtorin12richleuargtorinleutorinargtorin3,"Rich_3hours_1, Rich_3hours_2, Leu_3hours_1, Leu_3hours_2, Arg_3hours_1, Arg_3hours_2, RichTorin1_3hours_1, RichTorin1_3hours_2, LeuTorin1_3hours_1, LeuTorin1_3hours_2, ArgTorin1_3hours_1, ArgTorin1_3hours_2, Rich_3hours_3, Leu_3hours_3, Arg_3hours_3, RichTorin1_3hours_3, LeuTorin1_3hours_3, ArgTorin1_3hours_3"
