trna,cell_line,samplelabel,mean_chargedfraction
ACG,hrGFP,Rich,0.829205242
ACG,RagB-WT,Rich,0.810339299
ACG,RagB-Q99L,Rich,0.788600271
ACG,hrGFP+Torin1,Rich,0.84759654
ACG,hrGFP,-Leu,0.825155879
ACG,RagB-WT,-Leu,0.796933372
ACG,RagB-Q99L,-Leu,0.806720967
ACG,hrGFP+Torin1,-Leu,0.837218345
ACG,hrGFP,-Arg,0.678756305
ACG,RagB-WT,-Arg,0.688485611
ACG,RagB-Q99L,-Arg,0.562577727
ACG,hrGFP+Torin1,-Arg,0.864962662
