trna,cell_line,samplelabel,mean_chargedfraction
CAA,hrGFP,Rich,0.867749167
CAA,RagB-WT,Rich,0.85409562
CAA,RagB-Q99L,Rich,0.884552246
CAA,hrGFP+Torin1,Rich,0.892656914
CAA,hrGFP,-Leu,0.872562888
CAA,RagB-WT,-Leu,0.863406009
CAA,RagB-Q99L,-Leu,0.833336895
CAA,hrGFP+Torin1,-Leu,0.902804173
CAA,hrGFP,-Arg,0.904683265
CAA,RagB-WT,-Arg,0.885077851
CAA,RagB-Q99L,-Arg,0.901946307
CAA,hrGFP+Torin1,-Arg,0.92052975
