time,samplelabel,mean_relativephosindex,stdev,sterr
0,Rich,0.129347353,0.094302137,0.054445364
3,-Leu,0.742582658,0.336714129,0.194401993
3,-Arg,0.795127633,0.317484209,0.183299593
6,-Leu,0.721349128,0.181166282,0.104596401
6,-Arg,0.788366005,0.1960685,0.113200201
12,-Leu,0.799001872,0.161894832,0.093470025
12,-Arg,0.939442544,0.10488859,0.060557456
